step: 0/500000, d_loss: 1.8897, g_loss_u: 0.9239, g_loss_s: 0.0212, g_loss_v: 0.3577, e_loss_t0: 0.0309
step: 1000/500000, d_loss: 1.7653, g_loss_u: 0.8997, g_loss_s: 0.0215, g_loss_v: 0.0434, e_loss_t0: 0.0014
step: 2000/500000, d_loss: 0.7167, g_loss_u: 2.5272, g_loss_s: 0.026, g_loss_v: 0.0513, e_loss_t0: 0.0015
step: 3000/500000, d_loss: 0.7897, g_loss_u: 2.0002, g_loss_s: 0.0268, g_loss_v: 0.0521, e_loss_t0: 0.0015
step: 4000/500000, d_loss: 1.0811, g_loss_u: 1.733, g_loss_s: 0.0282, g_loss_v: 0.0398, e_loss_t0: 0.0014
step: 5000/500000, d_loss: 1.5394, g_loss_u: 1.2302, g_loss_s: 0.0273, g_loss_v: 0.0527, e_loss_t0: 0.0015
step: 6000/500000, d_loss: 1.4872, g_loss_u: 0.9938, g_loss_s: 0.0245, g_loss_v: 0.0429, e_loss_t0: 0.0015
step: 7000/500000, d_loss: 1.2548, g_loss_u: 1.5082, g_loss_s: 0.024, g_loss_v: 0.0542, e_loss_t0: 0.0015
step: 8000/500000, d_loss: 1.3539, g_loss_u: 1.1789, g_loss_s: 0.0239, g_loss_v: 0.038, e_loss_t0: 0.0016
step: 9000/500000, d_loss: 0.948, g_loss_u: 1.8843, g_loss_s: 0.028, g_loss_v: 0.0417, e_loss_t0: 0.0015
step: 10000/500000, d_loss: 0.6668, g_loss_u: 2.4428, g_loss_s: 0.0313, g_loss_v: 0.0381, e_loss_t0: 0.0016
step: 11000/500000, d_loss: 0.7549, g_loss_u: 2.7335, g_loss_s: 0.0322, g_loss_v: 0.0442, e_loss_t0: 0.0015
step: 12000/500000, d_loss: 0.5759, g_loss_u: 2.462, g_loss_s: 0.0311, g_loss_v: 0.046, e_loss_t0: 0.0015
step: 13000/500000, d_loss: 0.7652, g_loss_u: 2.0872, g_loss_s: 0.0343, g_loss_v: 0.0749, e_loss_t0: 0.0015
step: 14000/500000, d_loss: 1.0328, g_loss_u: 3.2039, g_loss_s: 0.0343, g_loss_v: 0.0398, e_loss_t0: 0.0016
step: 15000/500000, d_loss: 0.5241, g_loss_u: 3.5527, g_loss_s: 0.0352, g_loss_v: 0.0505, e_loss_t0: 0.0015
step: 16000/500000, d_loss: 0.5683, g_loss_u: 4.4569, g_loss_s: 0.0325, g_loss_v: 0.0468, e_loss_t0: 0.0013
step: 17000/500000, d_loss: 0.4328, g_loss_u: 4.5321, g_loss_s: 0.0369, g_loss_v: 0.045, e_loss_t0: 0.0015
step: 18000/500000, d_loss: 0.5389, g_loss_u: 2.8975, g_loss_s: 0.0318, g_loss_v: 0.0707, e_loss_t0: 0.0015
step: 19000/500000, d_loss: 0.3448, g_loss_u: 3.6763, g_loss_s: 0.0329, g_loss_v: 0.042, e_loss_t0: 0.0014
step: 20000/500000, d_loss: 0.7552, g_loss_u: 3.8782, g_loss_s: 0.0338, g_loss_v: 0.0443, e_loss_t0: 0.0014
step: 21000/500000, d_loss: 0.2492, g_loss_u: 8.9823, g_loss_s: 0.0359, g_loss_v: 0.0845, e_loss_t0: 0.0015
step: 22000/500000, d_loss: 0.3286, g_loss_u: 4.9422, g_loss_s: 0.0324, g_loss_v: 0.057, e_loss_t0: 0.0014
step: 23000/500000, d_loss: 0.3975, g_loss_u: 3.7113, g_loss_s: 0.0314, g_loss_v: 0.0475, e_loss_t0: 0.0015
step: 24000/500000, d_loss: 0.307, g_loss_u: 4.1894, g_loss_s: 0.0312, g_loss_v: 0.0533, e_loss_t0: 0.0015
step: 25000/500000, d_loss: 0.5705, g_loss_u: 4.4945, g_loss_s: 0.0324, g_loss_v: 0.0559, e_loss_t0: 0.0014
step: 26000/500000, d_loss: 0.4572, g_loss_u: 4.2494, g_loss_s: 0.0328, g_loss_v: 0.0656, e_loss_t0: 0.0014
step: 27000/500000, d_loss: 0.3789, g_loss_u: 3.338, g_loss_s: 0.0312, g_loss_v: 0.0403, e_loss_t0: 0.0015
step: 28000/500000, d_loss: 0.3609, g_loss_u: 3.8038, g_loss_s: 0.0317, g_loss_v: 0.0597, e_loss_t0: 0.0014
step: 29000/500000, d_loss: 0.4705, g_loss_u: 3.5059, g_loss_s: 0.0316, g_loss_v: 0.0581, e_loss_t0: 0.0014
step: 30000/500000, d_loss: 0.3719, g_loss_u: 3.9795, g_loss_s: 0.0304, g_loss_v: 0.0459, e_loss_t0: 0.0014
step: 31000/500000, d_loss: 0.2073, g_loss_u: 6.0806, g_loss_s: 0.0348, g_loss_v: 0.0473, e_loss_t0: 0.0015
